app_id_scrap,old_usrscore_scrap, metascore_scrap,genres_scrap,followers_scrap,playtime_scrap,youtube_scrap,ccu_scrap,developer_scrap,publisher_scrap,lang_1_scrap,lang_2_scrap,lang_3_scrap,lang_4_scrap,lang_5_scrap,lang_6_scrap,lang_7_scrap,lang_8_scrap,lang_9_scrap,lang_10_scrap,lang_11_scrap,lang_12_scrap,lang_13_scrap,lang_14_scrap,lang_15_scrap,lang_16_scrap,lang_17_scrap,lang_18_scrap,lang_19_scrap,lang_20_scrap,tag_1_scrap,tag_1_count,tag_2_scrap,tag_2_count,tag_3_scrap,tag_3_count,tag_4_scrap,tag_4_count,tag_5_scrap,tag_5_count,tag_6_scrap,tag_6_count,tag_7_scrap,tag_7_count,tag_8_scrap,tag_8_count,tag_9_scrap,tag_9_count,tag_10_scrap,tag_10_count,tag_11_scrap,tag_11_count,tag_12_scrap,tag_12_count,tag_13_scrap,tag_13_count,tag_14_scrap,tag_14_count,tag_15_scrap,tag_15_count,tag_16_scrap,tag_16_count,tag_17_scrap,tag_17_count,tag_18_scrap,tag_18_count,tag_19_scrap,tag_19_count,tag_20_scrap,tag_20_count,description,full_text
610860, 70% , 88%," Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Remote Play Together",883,XXXXXX,"9 views and 0 comments for top 50 videos uploaded last week, 0 new videos uploaded yesterday.",1,Monolith+Productions,Interplay+Entertainment+Corp.,English,,,,,,,,,,,,,,,,,,,,Action,46,Adventure,31,Strategy,29,Mechs,22,FPS,20,First-Person,18,Shooter,12,Sci-fi,12,Anime,12,Classic,9,Gore,6,,0,,0,,0,,0,,0,,0,,0,,0,,0,You will know the true power of giant robots!Anime-influenced graphics and gameplay designFight on foot or pilot a giant mech in both open and urban environmentsAn interesting storyline with two possible endings,"You will know the true power of giant robots!Anime-influenced graphics and gameplay designFight on foot or pilot a giant mech in both open and urban environmentsAn interesting storyline with two possible endings
Store | Hub | SteamDB | Site
Developer: Monolith Productions Publisher: Interplay Entertainment Corp.
Genre: Action, Adventure, Strategy
Languages: English
Tags: Action (46), Adventure (31), Strategy (29), Mechs (22), FPS (20), First-Person (18), Shooter (12), Sci-fi (12), Anime (12), Classic (9), Gore (6)
Category: Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Remote Play Together
Release date: Apr 14, 2017
Price: $9.99
Old userscore: 70% Metascore: 88%
Owners: 10,000 Owners (7 day average): 23,000
Followers: 883
Peak concurrent players yesterday: 1
YouTube stats: 9 views and 0 comments for top 50 videos uploaded last week, 0 new videos uploaded yesterday."
481510, 93% , 88%," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play on TV",57984,14:13 (average) 16:30 (median),"2,308 views and 130 comments for top 50 videos uploaded last week, 35 new videos uploaded yesterday.",89,Infinite+Fall,Finji,English,Japanese,,,,,,,,,,,,,,,,,,,Story+Rich,822,Atmospheric,669,Great+Soundtrack,644,Adventure,542,Indie,506,Female+Protagonist,483,Singleplayer,447,Cute,384,2D,378,Mystery,372,Exploration,347,Colorful,343,Funny,327,Drama,265,Platformer,233,Side+Scroller,212,Psychological+Horror,211,Walking+Simulator,203,LGBTQ%2B,114,Choices+Matter,53,"NIGHT IN THE WOODS is an adventure game focused on exploration, story, and character, featuring dozens of characters to meet and lots to do across a lush, vibrant world.","NIGHT IN THE WOODS is an adventure game focused on exploration, story, and character, featuring dozens of characters to meet and lots to do across a lush, vibrant world.
Store | Hub | SteamDB | Site
Developer: Infinite Fall Publisher: Finji
Genre: Adventure
Languages: English, Japanese
Tags: Story Rich (822), Atmospheric (669), Great Soundtrack (644), Adventure (542), Indie (506), Female Protagonist (483), Singleplayer (447), Cute (384), 2D (378), Mystery (372), Exploration (347), Colorful (343), Funny (327), Drama (265), Platformer (233), Side Scroller (212), Psychological Horror (211), Walking Simulator (203), LGBTQ+ (114), Choices Matter (53)
Category: Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play on TV
Release date: Feb 21, 2017
Price: $19.99
Old userscore: 93% Metascore: 88%
Owners: 326,000 Owners (7 day average): 325,000
Followers: 57,984
Peak concurrent players yesterday: 89
YouTube stats: 2,308 views and 130 comments for top 50 videos uploaded last week, 35 new videos uploaded yesterday.
Playtime in the last 2 weeks: 01:15 (average) 01:15 (median)
Playtime total: 14:13 (average) 16:30 (median)"
268910, 96% , 88%," Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together",268873,11:06 (average) 07:28 (median),"3,533,565 views and 15,037 comments for top 50 videos uploaded last week, over 50 new videos uploaded yesterday",970,Studio+MDHR+Entertainment+Inc.,Studio+MDHR+Entertainment+Inc.,English,French,Italian,German,Spanish+-+Spain,Japanese,Korean,Polish,Portuguese+-+Brazil,Russian,Simplified+Chinese,Spanish+-+Latin+America,,,,,,,,,Difficult,1637,Cartoon,1219,Platformer,1047,Great+Soundtrack,1030,Co-op,993,Local+Co-Op,902,Hand-drawn,885,2D,848,Indie,741,Retro,704,Multiplayer,686,Cartoony,667,Bullet+Hell,628,Action,611,Shoot+%27Em+Up,562,Side+Scroller,488,Colorful,470,Singleplayer,463,Funny,456,Atmospheric,405,"Cuphead is a classic run and gun action game heavily focused on boss battles. Inspired by cartoons of the 1930s, the visuals and audio are painstakingly created with the same techniques of the era, i.e. traditional hand drawn cel animation, watercolor backgrounds, and original jazz recordings.","Cuphead is a classic run and gun action game heavily focused on boss battles. Inspired by cartoons of the 1930s, the visuals and audio are painstakingly created with the same techniques of the era, i.e. traditional hand drawn cel animation, watercolor backgrounds, and original jazz recordings.
Store | Hub | SteamDB | Site
Developer: Studio MDHR Entertainment Inc. Publisher: Studio MDHR Entertainment Inc.
Genre: Action, Indie
Languages: English, French, Italian, German, Spanish - Spain, Japanese, Korean, Polish, Portuguese - Brazil, Russian, Simplified Chinese, Spanish - Latin America
Tags: Difficult (1637), Cartoon (1219), Platformer (1047), Great Soundtrack (1030), Co-op (993), Local Co-Op (902), Hand-drawn (885), 2D (848), Indie (741), Retro (704), Multiplayer (686), Cartoony (667), Bullet Hell (628), Action (611), Shoot 'Em Up (562), Side Scroller (488), Colorful (470), Singleplayer (463), Funny (456), Atmospheric (405)
Category: Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together
Release date: Sep 29, 2017
Price: $19.99
Old userscore: 96% Metascore: 88%
Owners: 2,465,000 Owners (7 day average): 2,459,500
Players in the last 2 weeks: 3.92%
Followers: 268,873
Peak concurrent players yesterday: 970
YouTube stats: 3,533,565 views and 15,037 comments for top 50 videos uploaded last week, over 50 new videos uploaded yesterday
Playtime in the last 2 weeks: 00:26 (average) 00:42 (median)
Playtime total: 11:06 (average) 07:28 (median)"
435150, 96% , 93%," Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Workshop, Steam Cl",463483,60:18 (average) 39:13 (median),"7,111 views and 324 comments for top 50 videos uploaded last week, 5 new videos uploaded yesterday.","12,401",Larian+Studios,Larian+Studios,English,French,German,Russian,Polish,Spanish+-+Spain,Simplified+Chinese,Traditional+Chinese,Italian,Korean,Czech,,,,,,,,,,Exploration,2678,Tactical+RPG,2675,CRPG,2659,Story+Rich,2657,PvP,2656,Fantasy,2644,Turn-Based+Strategy,2643,Strategy+RPG,2636,Party-Based+RPG,2632,RPG,2623,Character+Customization,2619,Female+Protagonist,2609,Co-op+Campaign,1387,Local+Co-Op,1365,Romance,1331,Funny,1327,Moddable,1321,Isometric,1320,Strategy,1319,3D,1313,"The critically acclaimed RPG that raised the bar, from the creators of Baldur's Gate 3. Gather your party. Master deep, tactical combat. Venture as a party of up to four - but know that only one of you will have the chance to become a God.","The critically acclaimed RPG that raised the bar, from the creators of Baldur's Gate 3. Gather your party. Master deep, tactical combat. Venture as a party of up to four - but know that only one of you will have the chance to become a God.
Store | Hub | SteamDB | Site
Developer: Larian Studios Publisher: Larian Studios
Genre: Adventure, RPG, Strategy
Languages: English, French, German, Russian, Polish, Spanish - Spain, Simplified Chinese, Traditional Chinese, Italian, Korean, Czech
Tags: Exploration (2678), Tactical RPG (2675), CRPG (2659), Story Rich (2657), PvP (2656), Fantasy (2644), Turn-Based Strategy (2643), Strategy RPG (2636), Party-Based RPG (2632), RPG (2623), Character Customization (2619), Female Protagonist (2609), Co-op Campaign (1387), Local Co-Op (1365), Romance (1331), Funny (1327), Moddable (1321), Isometric (1320), Strategy (1319), 3D (1313)
Category: Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Workshop, Steam Cl
Release date: Sep 14, 2017 (previously in Early Access)
Price: $44.99
Old userscore: 96% Metascore: 93%
Owners: 5,036,000 Owners (7 day average): 5,007,500
Players in the last 2 weeks: 6.67%
Followers: 463,483
Peak concurrent players yesterday: 12,401
YouTube stats: 7,111 views and 324 comments for top 50 videos uploaded last week, 5 new videos uploaded yesterday.
Playtime in the last 2 weeks: 09:57 (average) 14:21 (median)
Playtime total: 60:18 (average) 39:13 (median)"
587620, 92% , 92%," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud",74841,06:19 (average) 05:19 (median),"1,714 views and 65 comments for top 50 videos uploaded last week, 11 new videos uploaded yesterday.",100,CAPCOM+Co.%2C+Ltd.,CAPCOM+Co.%2C+Ltd.,English,French,German,Japanese,,,,,,,,,,,,,,,,,Adventure,261,Mythology,228,Great+Soundtrack,227,Story+Rich,216,Singleplayer,177,Female+Protagonist,144,Classic,142,Atmospheric,133,Cult+Classic,127,Open+World,126,Action,123,Colorful,116,Stylized,104,Fantasy,91,Action+RPG,69,Anime,65,Action-Adventure,62,RPG,54,Remake,49,JRPG,48,Experience the critically acclaimed masterpiece with its renowned Sumi-e ink art style in breathtaking high resolution.,"Experience the critically acclaimed masterpiece with its renowned Sumi-e ink art style in breathtaking high resolution.
Store | Hub | SteamDB
Developer: CAPCOM Co., Ltd. Publisher: CAPCOM Co., Ltd.
Genre: Adventure
Languages: English, French, German, Japanese
Tags: Adventure (261), Mythology (228), Great Soundtrack (227), Story Rich (216), Singleplayer (177), Female Protagonist (144), Classic (142), Atmospheric (133), Cult Classic (127), Open World (126), Action (123), Colorful (116), Stylized (104), Fantasy (91), Action RPG (69), Anime (65), Action-Adventure (62), RPG (54), Remake (49), JRPG (48)
Category: Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud
Release date: Dec 12, 2017
Price: $19.99
Old userscore: 92% Metascore: 92%
Owners: 489,000 Owners (7 day average): 489,000
Followers: 74,841
Peak concurrent players yesterday: 100
YouTube stats: 1,714 views and 65 comments for top 50 videos uploaded last week, 11 new videos uploaded yesterday.
Playtime total: 06:19 (average) 05:19 (median)"
469790, 97% , 90%," Single-player, Steam Achievements, Full controller support, Remote Play on TV",2325,03:08 (average) 03:08 (median),"2 views and 0 comments for top 50 videos uploaded last week, 0 new videos uploaded yesterday.",4,My+Dog+Zorro,My+Dog+Zorro,English,French,Italian,German,Spanish+-+Spain,Russian,,,,,,,,,,,,,,,Indie,41,Casual,40,Puzzle,31,Action,29,Adventure,29,Great+Soundtrack,11,Minimalist,10,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,Linelight is an elegant puzzle game set in a world of lines.,"Linelight is an elegant puzzle game set in a world of lines.
Store | Hub | SteamDB | Site
Developer: My Dog Zorro Publisher: My Dog Zorro
Genre: Action, Adventure, Casual, Indie
Languages: English, French, Italian, German, Spanish - Spain, Russian
Tags: Indie (41), Casual (40), Puzzle (31), Action (29), Adventure (29), Great Soundtrack (11), Minimalist (10)
Category: Single-player, Steam Achievements, Full controller support, Remote Play on TV
Release date: Jan 30, 2017
Price: $9.99
Old userscore: 97% Metascore: 90%
Owners: 59,000 Owners (7 day average): 60,000
Followers: 2,325
Peak concurrent players yesterday: 4
YouTube stats: 2 views and 0 comments for top 50 videos uploaded last week, 0 new videos uploaded yesterday.
Playtime total: 03:08 (average) 03:08 (median)"
558990, 97% , 90%," Single-player, Steam Achievements, Steam Workshop, Steam Cloud, Steam Leaderboards, Includes level editor",29955,11:27 (average) 13:56 (median),"61 views and 0 comments for top 50 videos uploaded last week, 2 new videos uploaded yesterday.",67,Zachtronics,Zachtronics,English,French,German,Japanese,Russian,Simplified+Chinese,Spanish+-+Latin+America,Korean,Turkish,Ukrainian,,,,,,,,,,,Puzzle,158,Programming,123,Indie,121,Automation,110,Simulation,100,Logic,62,Singleplayer,45,Great+Soundtrack,31,Building,28,Steampunk,26,Sandbox,23,Difficult,23,2D,20,Casual,8,Early+Access,6,,0,,0,,0,,0,,0,"Opus Magnum is the latest open-ended puzzle game from Zachtronics, the creators of SpaceChem, Infinifactory, and SHENZHEN I/O. Design and build machines that assemble potions, poisons, and more using the alchemical engineer’s most advanced tool: the transmutation engine!","Opus Magnum is the latest open-ended puzzle game from Zachtronics, the creators of SpaceChem, Infinifactory, and SHENZHEN I/O. Design and build machines that assemble potions, poisons, and more using the alchemical engineer’s most advanced tool: the transmutation engine!
Store | Hub | SteamDB | Site
Developer: Zachtronics Publisher: Zachtronics
Genre: Indie, Simulation
Languages: English, French, German, Japanese, Russian, Simplified Chinese, Spanish - Latin America, Korean, Turkish, Ukrainian
Tags: Puzzle (158), Programming (123), Indie (121), Automation (110), Simulation (100), Logic (62), Singleplayer (45), Great Soundtrack (31), Building (28), Steampunk (26), Sandbox (23), Difficult (23), 2D (20), Casual (8), Early Access (6)
Category: Single-player, Steam Achievements, Steam Workshop, Steam Cloud, Steam Leaderboards, Includes level editor
Release date: Dec 7, 2017 (previously in Early Access)
Price: $19.99
Old userscore: 97% Metascore: 90%
Owners: 387,000 Owners (7 day average): 386,500
Followers: 29,955
Peak concurrent players yesterday: 67
YouTube stats: 61 views and 0 comments for top 50 videos uploaded last week, 2 new videos uploaded yesterday.
Playtime total: 11:27 (average) 13:56 (median)"
460790, 91% , 90%," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV",104694,07:48 (average) 03:03 (median),"231,307 views and 365 comments for top 50 videos uploaded last week, 46 new videos uploaded yesterday.",158,PlatinumGames,SEGA,English,French,Italian,German,Spanish+-+Spain,Japanese,,,,,,,,,,,,,,,Action,703,Female+Protagonist,605,Hack+and+Slash,504,Sexual+Content,461,Nudity,411,Singleplayer,393,Spectacle+fighter,358,Mature,323,Great+Soundtrack,314,Character+Action+Game,313,Adventure,289,Fast-Paced,197,Fantasy,192,Third+Person,185,Beat+%27em+up,165,Comedy,149,Classic,146,Anime,142,Gore,139,Atmospheric,94,PlatinumGames’ universally acclaimed action masterpiece finally comes to PC. Experience the over-the-top stylish action in 60fps at unlocked HD resolutions. The definitive way to play: being bad never felt so good.,"PlatinumGames’ universally acclaimed action masterpiece finally comes to PC. Experience the over-the-top stylish action in 60fps at unlocked HD resolutions. The definitive way to play: being bad never felt so good.
Store | Hub | SteamDB
Developer: PlatinumGames Publisher: SEGA
Genre: Action, Adventure
Languages: English, French, Italian, German, Spanish - Spain, Japanese
Tags: Action (703), Female Protagonist (605), Hack and Slash (504), Sexual Content (461), Nudity (411), Singleplayer (393), Spectacle fighter (358), Mature (323), Great Soundtrack (314), Character Action Game (313), Adventure (289), Fast-Paced (197), Fantasy (192), Third Person (185), Beat 'em up (165), Comedy (149), Classic (146), Anime (142), Gore (139), Atmospheric (94)
Category: Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV
Release date: Apr 11, 2017
Price: $19.99
Old userscore: 91% Metascore: 90%
Owners: 1,008,000 Owners (7 day average): 1,007,500
Players in the last 2 weeks: 3.23%
Followers: 104,694
Peak concurrent players yesterday: 158
YouTube stats: 231,307 views and 365 comments for top 50 videos uploaded last week, 46 new videos uploaded yesterday.
Playtime in the last 2 weeks: 00:22 (average) 00:22 (median)
Playtime total: 07:48 (average) 03:03 (median)"
636450, 92% , 89%," Single-player, Steam Achievements, Full controller support, Steam Trading Cards, SteamVR Collectibles, Steam Cloud, Steam Leaderboards, Remote Play on TV",5213,03:07 (average) 04:05 (median),"127 views and 5 comments for top 50 videos uploaded last week, 3 new videos uploaded yesterday.",5,Resonair,Enhance,English,French,Italian,German,Spanish+-+Spain,Japanese,Simplified+Chinese,Traditional+Chinese,,,,,,,,,,,,,Action,44,Indie,38,Casual,38,Great+Soundtrack,34,On-Rails+Shooter,29,Music,26,Rhythm,25,VR,25,Psychedelic,23,Sci-fi,14,Classic,13,Cult+Classic,9,,0,,0,,0,,0,,0,,0,,0,,0,"The legendary action-shooter finally comes to PC, and in style! Blast your way through mind-melting visuals and amazing beats, all in your quest through cyberspace to save a world on the verge of collapse. Playable on your desktop or in fully immersive VR.","The legendary action-shooter finally comes to PC, and in style! Blast your way through mind-melting visuals and amazing beats, all in your quest through cyberspace to save a world on the verge of collapse. Playable on your desktop or in fully immersive VR.
Store | Hub | SteamDB | Site
Developer: Monstars Inc., Resonair Publisher: Enhance
Genre: Action, Casual, Indie
Languages: English, French, Italian, German, Spanish - Spain, Japanese, Simplified Chinese, Traditional Chinese
Tags: Action (44), Indie (38), Casual (38), Great Soundtrack (34), On-Rails Shooter (29), Music (26), Rhythm (25), VR (25), Psychedelic (23), Sci-fi (14), Classic (13), Cult Classic (9)
Category: Single-player, Steam Achievements, Full controller support, Steam Trading Cards, SteamVR Collectibles, Steam Cloud, Steam Leaderboards, Remote Play on TV
Release date: Aug 9, 2017
Price: $24.99
Old userscore: 92% Metascore: 89%
Owners: 44,000 Owners (7 day average): 44,000
Followers: 5,213
Peak concurrent players yesterday: 5
YouTube stats: 127 views and 5 comments for top 50 videos uploaded last week, 3 new videos uploaded yesterday.
Playtime total: 03:07 (average) 04:05 (median)"
442120, 87% , 89%," Single-player, Multi-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV",9782,01:44 (average) 00:30 (median),"2,337 views and 34 comments for top 50 videos uploaded last week, 1 new videos uploaded yesterday.",235,Zen+Studios,Zen+Studios,English,French,Italian,German,Spanish+-+Spain,,,,,,,,,,,,,,,,Pinball,162,Simulation,121,Free+to+Play,118,Arcade,115,Casual,112,Retro,108,Physics,103,Score+Attack,101,Family+Friendly,96,Singleplayer,90,Multiplayer,86,Relaxing,83,1990%27s,79,Local+Multiplayer,76,Top-Down,74,Replay+Value,72,Colorful,63,Realistic,56,Sports,53,1980s,53,"Pinball FX3 is the biggest, most community focused pinball game ever created. Multiplayer matchups, user generated tournaments and league play create endless opportunity for pinball competition.","Pinball FX3 is the biggest, most community focused pinball game ever created. Multiplayer matchups, user generated tournaments and league play create endless opportunity for pinball competition.
Store | Hub | SteamDB | Site
Developer: Zen Studios Publisher: Zen Studios
Genre: Simulation
Languages: English, French, Italian, German, Spanish - Spain
Tags: Pinball (162), Simulation (121), Free to Play (118), Arcade (115), Casual (112), Retro (108), Physics (103), Score Attack (101), Family Friendly (96), Singleplayer (90), Multiplayer (86), Relaxing (83), 1990's (79), Local Multiplayer (76), Top-Down (74), Replay Value (72), Colorful (63), Realistic (56), Sports (53), 1980s (53)
Category: Single-player, Multi-player, Steam Achievements, Full controller support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV
Release date: Sep 26, 2017
Price: $23.97
Old userscore: 87% Metascore: 89%
Owners: 559,000 Owners (7 day average): 557,500
Followers: 9,782
Peak concurrent players yesterday: 235
YouTube stats: 2,337 views and 34 comments for top 50 videos uploaded last week, 1 new videos uploaded yesterday.
Playtime total: 01:44 (average) 00:30 (median)"
